Rank,Movie,Release Date,Distributor,Genre,2022 Gross,Tickets Sold
197,Kaathu Vaakula Rendu Kadhal,"Apr 29, 2022",Hamsini,Romantic Comedy,"$270,000","29,443"
198,Gone in the Night,"Jul 15, 2022",Vertical Entertai…,Thriller/Suspense,"$266,466","29,058"
199,You Won’t Be Alone,"Apr 1, 2022",Focus Features,Horror,"$264,055","28,795"
200,Paul’s Promise,"Oct 21, 2022",Integrity Releasing,Drama,"$258,545","28,194"
201,The Automat,"Feb 18, 2022",A Slice of Pie Pr…,Documentary,"$257,371","28,066"
202,On the Come Up,"Sep 23, 2022",Paramount Pictures,Drama,"$236,153","25,752"
203,Who We Are: A Chronicle of …,"Jan 14, 2022",Sony Pictures Cla…,Documentary,"$234,298","25,550"
204,Sundown,"Jan 28, 2022",Bleecker Street,Thriller/Suspense,"$229,921","25,073"
205,CatVideoFest 2022,"Jun 24, 2022",Oscilloscope Pict…,Documentary,"$217,330","23,700"
206,Love in Kilnerry,"Apr 8, 2022",Archway Pictures,Romantic Comedy,"$213,101","23,238"
207,Compartment No. 6,"Jan 26, 2022",Sony Pictures Cla…,Drama,"$205,601","22,421"
208,The Silent Twins,"Sep 16, 2022",Focus Features,Drama,"$205,135","22,370"
209,Benediction,"May 27, 2022",Roadside Attractions,Drama,"$201,093","21,929"
210,Both Sides of the Blade,"Jul 8, 2022",IFC Films,Drama,"$201,047","21,924"
211,Neptune Frost,"Jun 3, 2022",Kino Lorber,Musical,"$193,875","21,142"
212,Inland Empire,"Dec 6, 2006",518 Media,Drama,"$186,470","20,334"
213,Too Cool to Kill,"Feb 18, 2022",Well Go USA,Comedy,"$185,882","20,270"
214,Dual,"Apr 15, 2022",RLJ Entertainment,Thriller/Suspense,"$185,212","20,197"
215,Hatching,"Apr 29, 2022",IFC Midnight,Horror,"$182,925","19,948"
216,Happening,"May 6, 2022",IFC Films,Drama,"$181,023","19,740"
217,UFC 273: Volkanovski vs. Th…,"Apr 9, 2022",Iconic Releasing,Concert/Perfor…,"$180,000","19,629"
218,Jazz Fest: A New Orleans Story,"May 13, 2022",Sony Pictures Cla…,Documentary,"$179,005","19,520"
219,Eternals,"Nov 5, 2021",Walt Disney,Action,"$175,832","19,174"
220,The Inspection,"Nov 18, 2022",A24,Drama,"$173,793","18,952"
221,Alienoid,"Aug 26, 2022",Well Go USA,Action,"$168,309","18,354"
222,Virata Parvam,"Jun 17, 2022",,Thriller/Suspense,"$165,000","17,993"
223,Vortex,"Apr 29, 2022",Utopia,Drama,"$160,892","17,545"
224,Resurrection,"Jul 29, 2022",IFC Films,Thriller/Suspense,"$160,866","17,542"
225,The Conversation,"Apr 7, 1974",Paramount Pictures,Thriller/Suspense,"$154,909","16,893"
226,Hockeyland,"Sep 9, 2022",Greenwich,Documentary,"$151,292","16,498"
227,Hit the Road,"Apr 22, 2022",Kino Lorber,Drama,"$151,018","16,468"
228,"My Donkey, My Lover & I","Jul 22, 2022",Greenwich,Comedy,"$149,621","16,316"
229,The French Dispatch,"Oct 22, 2021",Searchlight Pictures,Comedy,"$147,605","16,096"
230,Firebird,"Apr 29, 2022",Roadside Attractions,Drama,"$144,118","15,716"
231,The Witch 2: The Other One,"Jun 17, 2022",Well Go USA,Horror,"$143,723","15,673"
232,UFC 281: Adesanya vs. Pereia,"Nov 12, 2022",Iconic Releasing,Concert/Perfor…,"$138,000","15,049"
233,Holy Spider (عنكبوت مقدس)…,"Oct 28, 2022",Utopia,Drama,"$136,960","14,935"
234,The Killer,"Jul 13, 2022",Wide Lens Pictures,Action,"$134,716","14,690"
235,Gabby Giffords Won’t Back D…,"Jul 15, 2022",Briarcliff Entert…,Documentary,"$134,098","14,623"
236,Lost Illusions,"Jun 10, 2022",Music Box Films,Drama,"$126,391","13,783"
237,Gamestop: Rise of the Players,"Jan 28, 2022",Super LTD,Documentary,"$126,297","13,772"
238,Diva,"Mar 26, 1982",MGM,Thriller/Suspense,"$122,715","13,382"
239,The Storied Life of A.J. Fikry,"Oct 7, 2022",Vertical Entertai…,Romantic Comedy,"$121,000","13,195"
240,A Silent Voice,"Jan 31, 2019",Eleven Arts,Drama,"$120,332","13,122"
241,Pompo: The Cinéphile,"Apr 27, 2022",GKIDS,Comedy,"$120,119","13,099"
242,The Rose Maker,"Apr 1, 2022",Music Box Films,Comedy,"$119,160","12,994"
243,No Time to Die,"Oct 8, 2021",United Artists,Action,"$119,000","12,977"
244,Heropanti 2,"Apr 29, 2022",Viva Entertainment,Action,"$115,000","12,540"
245,Green Ghost & The Masters O…,"Apr 29, 2022",Gravitas Ventures,Action,"$113,687","12,397"
246,Pleasure,"May 13, 2022",Neon,Drama,"$106,789","11,645"
247,Jockey,"Dec 29, 2021",Sony Pictures Cla…,Drama,"$104,820","11,430"
248,My Old School,"Jul 22, 2022",Magnolia Pictures,Documentary,"$103,966","11,337"
249,I Love My Dad,"Aug 5, 2022",Magnolia Pictures,Comedy,"$101,508","11,069"
250,We’re All Going to the Worl…,"Apr 15, 2022",Utopia,Horror,"$101,178","11,033"
251,Gold,"Mar 11, 2022",Screen Media Films,Thriller/Suspense,"$100,197","10,926"
252,The Velvet Queen,"Dec 22, 2021",Oscilloscope Pict…,Documentary,"$99,045","10,800"
253,Abandoned,"Jun 17, 2022",Vertical Entertai…,Horror,"$96,761","10,551"
254,Strawberry Mansion,"Feb 18, 2022",Music Box Films,Comedy,"$96,756","10,551"
255,The Return Of Tanya Tucker:…,"Oct 21, 2022",Sony Pictures Cla…,Documentary,"$91,538","9,982"
256,Three Minutes - A Lengthening,"Aug 19, 2022",Super LTD,Documentary,"$90,144","9,830"
257,"Goodbye, Don Glees!","Sep 16, 2022",GKIDS,Adventure,"$86,610","9,444"
258,UnFavorable Odds,"Sep 9, 2022",Atlas Distribution,Romantic Comedy,"$86,203","9,400"
259,All My Puny Sorrows,"Apr 15, 2022",Mongrel Media,Drama,"$84,735","9,240"
260,All My Friends Hate Me,"Mar 11, 2022",Super LTD,Comedy,"$80,405","8,768"
261,Butter,"Feb 25, 2022",Blue Fox Entertai…,Drama,"$78,450","8,555"
262,Hold Me Tight,"Sep 9, 2022",Kino Lorber,Drama,"$74,723","8,148"
263,"Paris, 13th District","Apr 15, 2022",IFC Films,Drama,"$73,118","7,973"
264,The Discreet Charm of the B…,"May 12, 2000",,Comedy,"$72,632","7,920"
265,Great Freedom,"Mar 4, 2022",MUBI,Drama,"$71,946","7,845"
266,The Territory,"Aug 19, 2022",National Geograph…,Documentary,"$69,316","7,558"
267,Maika: The Girl From Anothe…,"Jun 3, 2022",Well Go USA,Adventure,"$69,257","7,552"
268,Sharp Stick,"Jul 29, 2022",Utopia,Comedy,"$68,598","7,480"
269,Tad the Lost Explorer and t…,"Nov 4, 2022",Paramount Pictures,Adventure,"$67,599","7,371"
270,Freakscene — The Story of D…,"May 27, 2022",Utopia,Documentary,"$66,038","7,201"
